PupsID,Region,Age,Metabolite,bvalue,Attenuation
7,Thalamus,5,Glu,6,0.584827586206897
7,Thalamus,5,Glu,10,0.378620689655172
7,Thalamus,5,Glu,20,0.199310344827586
7,Thalamus,5,Glu,30,0.041448275862069
16,Cerebellum,5,Glu,0.035,1
16,Cerebellum,5,Glu,3.035,0.52132701421801
16,Cerebellum,5,Glu,6,0.281990521327014
16,Cerebellum,5,Glu,10,0.753554502369668
16,Cerebellum,5,Glu,20,0.402843601895735
16,Cerebellum,5,Glu,30,0.35781990521327
8,Thalamus,5,Glu,0.035,1
8,Thalamus,5,Glu,3.035,0.64327485380117
8,Thalamus,5,Glu,6,0.534502923976608
8,Thalamus,5,Glu,10,0.438011695906433
8,Thalamus,5,Glu,20,0.240350877192982
8,Thalamus,5,Glu,30,0.194736842105263
17,Cerebellum,5,Glu,0.035,1
17,Cerebellum,5,Glu,3.035,0.724137931034483
17,Cerebellum,5,Glu,6,0.495689655172414
17,Cerebellum,5,Glu,10,0.338793103448276
17,Cerebellum,5,Glu,20,0.155172413793103
17,Cerebellum,5,Glu,30,0.101724137931034
9,Thalamus,5,Glu,0.035,1
9,Thalamus,5,Glu,3.035,0.710059171597633
9,Thalamus,5,Glu,6,0.463905325443787
9,Thalamus,5,Glu,10,0.354437869822485
9,Thalamus,5,Glu,20,0.297633136094675
9,Thalamus,5,Glu,30,0.188165680473373
18,Cerebellum,5,Glu,0.035,1
18,Cerebellum,5,Glu,3.035,0.78019801980198
18,Cerebellum,5,Glu,6,0.665346534653465
18,Cerebellum,5,Glu,10,0.494059405940594
18,Cerebellum,5,Glu,20,0.365346534653465
18,Cerebellum,5,Glu,30,0.0807920792079208
1,Thalamus,5,Ins,0.035,1
1,Thalamus,5,Ins,3.035,0.7
1,Thalamus,5,Ins,6,0.517283950617284
1,Thalamus,5,Ins,10,0
1,Thalamus,5,Ins,20,0
1,Thalamus,5,Ins,30,0
10,Cerebellum,5,Ins,0.035,1
10,Cerebellum,5,Ins,3.035,0.666101694915254
